"id","sbjCode","condit","Category","Pattern.Type","file","n","Corr","item_label"
"112.high","112","high",2,"new_low","dot_cond3_sub112.txt",3,0.666666666666667,"112_high_2_329"
"112.high","112","high",2,"new_med","dot_cond3_sub112.txt",6,0.333333333333333,"112_high_2_329"
"112.high","112","high",2,"new_high","dot_cond3_sub112.txt",9,0.333333333333333,"112_high_2_329"
"112.high","112","high",3,"prototype","dot_cond3_sub112.txt",1,0,"112_high_3_313"
"112.high","112","high",3,"old","dot_cond3_sub112.txt",99,0.585858585858586,"112_high_3_313"
"112.high","112","high",3,"new_low","dot_cond3_sub112.txt",3,0.666666666666667,"112_high_3_313"
"112.high","112","high",3,"new_med","dot_cond3_sub112.txt",6,0.166666666666667,"112_high_3_313"
"112.high","112","high",3,"new_high","dot_cond3_sub112.txt",9,0.777777777777778,"112_high_3_313"
"113.mixed","113","mixed",1,"prototype","dot_cond4_sub113.txt",1,1,"113_mixed_1_327"
"113.mixed","113","mixed",1,"old","dot_cond4_sub113.txt",99,0.737373737373737,"113_mixed_1_327"
"113.mixed","113","mixed",1,"new_low","dot_cond4_sub113.txt",3,1,"113_mixed_1_327"
"113.mixed","113","mixed",1,"new_med","dot_cond4_sub113.txt",6,0.666666666666667,"113_mixed_1_327"
"113.mixed","113","mixed",1,"new_high","dot_cond4_sub113.txt",9,0.555555555555556,"113_mixed_1_327"
"113.mixed","113","mixed",2,"prototype","dot_cond4_sub113.txt",1,1,"113_mixed_2_288"
"113.mixed","113","mixed",2,"old","dot_cond4_sub113.txt",99,0.828282828282828,"113_mixed_2_288"
"113.mixed","113","mixed",2,"new_low","dot_cond4_sub113.txt",3,0.666666666666667,"113_mixed_2_288"
"113.mixed","113","mixed",2,"new_med","dot_cond4_sub113.txt",6,0.833333333333333,"113_mixed_2_288"
"113.mixed","113","mixed",2,"new_high","dot_cond4_sub113.txt",9,0.666666666666667,"113_mixed_2_288"
"113.mixed","113","mixed",3,"prototype","dot_cond4_sub113.txt",1,1,"113_mixed_3_295"
"113.mixed","113","mixed",3,"old","dot_cond4_sub113.txt",99,0.868686868686869,"113_mixed_3_295"
"113.mixed","113","mixed",3,"new_low","dot_cond4_sub113.txt",3,1,"113_mixed_3_295"
"113.mixed","113","mixed",3,"new_med","dot_cond4_sub113.txt",6,0.833333333333333,"113_mixed_3_295"
"113.mixed","113","mixed",3,"new_high","dot_cond4_sub113.txt",9,1,"113_mixed_3_295"
"114.low","114","low",1,"prototype","dot_cond1_sub114.txt",1,1,"114_low_1_308"
"114.low","114","low",1,"old","dot_cond1_sub114.txt",99,0.878787878787879,"114_low_1_308"
"114.low","114","low",1,"new_low","dot_cond1_sub114.txt",3,1,"114_low_1_308"
"114.low","114","low",1,"new_med","dot_cond1_sub114.txt",6,0.833333333333333,"114_low_1_308"
"114.low","114","low",1,"new_high","dot_cond1_sub114.txt",9,1,"114_low_1_308"
"114.low","114","low",2,"prototype","dot_cond1_sub114.txt",1,1,"114_low_2_287"
"114.low","114","low",2,"old","dot_cond1_sub114.txt",99,0.868686868686869,"114_low_2_287"
"114.low","114","low",2,"new_low","dot_cond1_sub114.txt",3,1,"114_low_2_287"
